senseval2.d000.s000.t000	A skill or technique acquired by study or practice; a branch of learning or a profession.
senseval2.d000.s000.t002	Having a unique or distinctive quality or character, often in a way that is unusual or unexpected.
senseval2.d000.s000.t003	Relating to England or its people, language, or culture.
senseval2.d000.s000.t004	A greater part of; the majority of.
senseval2.d000.s000.t005	Relating to England, its people, or their language.
senseval2.d000.s000.t006	Distinctive or unusual characteristics, traits, or features of something.
senseval2.d000.s000.t007	Impossible to understand; not capable of being understood.
senseval2.d000.s000.t008	The remaining part of a whole, especially when a part has been removed or excluded.
senseval2.d000.s000.t009	The earth and all its inhabitants.
senseval2.d000.s003.t000	A picture or view of a place, event, or situation.
senseval2.d000.s003.t001	To bring back a memory or feeling from the past; to recall or suggest something, often in a subtle way.
senseval2.d000.s003.t004	Most beautiful or charming.
senseval2.d000.s003.t005	Having existed for a long time; very old.
senseval2.d000.s003.t006	A hard, nonmetallic, usually silicate mineral substance, typically occurring in an aggregate of mineral crystals, often used in
senseval2.d000.s003.t007	A building for public Christian worship.
senseval2.d000.s003.t008	To be in an upright position, especially with the feet on the ground.
senseval2.d000.s003.t009	An area of land used for agriculture, typically with a variety of crops or livestock.
senseval2.d000.s003.t010	A noise made by a person or animal, or by a thing that is striking against something else and producing a loud, clear
senseval2.d000.s003.t011	A hollow metal object, typically with a handle, rung to produce a clear ringing sound, especially in a church.
senseval2.d000.s003.t012	Falling or flowing freely in a continuous stream or cascade, often in a smooth or melodious manner.
senseval2.d000.s003.t013	A tall, narrow structure, typically made of stone or brick, used to support a bell or other architectural feature.
senseval2.d000.s003.t014	Summoning or inviting people to a place, often to a place of worship, or a formal occasion.
senseval2.d000.s003.t015	Loyal or devoted in allegiance or attachment, especially to a person, cause, or institution.
senseval2.d000.s003.t016	A short evening prayer service, typically sung in a church.
senseval2.d000.s004.t001	To come to a halt or pause, typically temporarily.
senseval2.d000.s004.t003	A building for public worship, especially a Christian one.
senseval2.d000.s004.t004	A movable structure forming an opening in a wall or partition, typically consisting of a frame with a hinge at one side, used
senseval2.d000.s004.t005	A person who belongs to a particular organization, group, or community, especially a church.
senseval2.d000.s004.t006	In or at this place.
senseval2.d000.s004.t007	At all times; on every occasion.
senseval2.d000.s005.t000	A structure, typically high and narrow, with a central support or pillar, and often with a turret or spire at the
senseval2.d000.s005.t001	Adult human males.
senseval2.d000.s005.t002	Adult human females.
senseval2.d000.s005.t003	To exert force in order to move something towards oneself or to draw something towards oneself.
senseval2.d000.s005.t005	A length of cord or yarn used for binding or fastening, or a cord or string used for pulling or hauling.
senseval2.d000.s005.t007	Identical in nature, quality, or characteristics; exactly the same.
senseval2.d000.s005.t008	A hollow metal object that, when struck, produces a ringing sound, typically by being struck by a clapper or by a
senseval2.d000.s005.t009	Used to indicate the beginning or origin of something.
