senseval2.d000.s000.t000	3) a superior skill that you can learn by study and practice and observationIn this context, "art"
senseval2.d000.s000.t002	1) beyond or deviating from the usual or expected2) unique or specific to a person or thing or category
senseval2.d000.s000.t003	2) the people of EnglandThe sentence refers to "change-ringing," which is a form of bell
senseval2.d000.s000.t004	1) (superlative of `many' used with count nouns and often preceded by `the')
senseval2.d000.s000.t005	1) of or relating to or characteristic of England or its culture or peopleThis definition is most suitable because
senseval2.d000.s000.t006	1) an odd or unusual characteristicThis definition best fits the context of the sentence, which suggests that change-
senseval2.d000.s000.t007	2) not clearly understood or expressed
senseval2.d000.s000.t008	5) euphemisms for death (based on an analogy between lying in a bed and in a tomb)
senseval2.d000.s000.t009	8) all of the living human inhabitants of the earth
senseval2.d000.s003.t000	9) the context and environment in which something is set.
senseval2.d000.s003.t001	5) call to mindIn the context of the sentence, "evoke" is used to describe the act
senseval2.d000.s003.t004	1) appealing to the emotions as well as the eye
senseval2.d000.s003.t005	1) belonging to times long past especially of the historical period before the fall of the Western Roman EmpireThis definition
senseval2.d000.s003.t006	1) a lump or mass of hard consolidated mineral matter2) building material consisting of a piece
senseval2.d000.s003.t007	2) a place for public (especially Christian) worshipIn the given sentence, "church" refers
senseval2.d000.s003.t008	1) be standing; be upright4) hold one's ground; maintain a position; be stead
senseval2.d000.s003.t009	9) extensive tract of level open landIn the given sentence, "fields" refers to expanses of
senseval2.d000.s003.t010	1) the particular auditory effect produced by a given causeIn the context of the sentence, "sound"
senseval2.d000.s003.t011	1) a hollow device made of metal that makes a ringing sound when struck.The definition that best
senseval2.d000.s003.t012	1) rush down in big quantities, like a cascadeIn the given sentence, "cascading
senseval2.d000.s003.t013	1) a structure taller than its diameter; can stand alone or be attached to a larger buildingIn the
senseval2.d000.s003.t014	23) order or request or give a command for24) order, summon, or request for a
senseval2.d000.s003.t015	1) any loyal and steadfast followingIn the context of the sentence, "faithful" refers to
senseval2.d000.s003.t016	1) the sixth of the seven canonical hours of the divine office; early evening; now often made a public service on
senseval2.d000.s004.t001	1) come to a halt, stop moving11) stop and wait, as if awaiting further instructions or
senseval2.d000.s004.t003	2) a place for public (especially Christian) worshipThe sentence refers to a physical location where parishion
senseval2.d000.s004.t004	1) a swinging or sliding barrier that will close the entrance to a room or building or vehicle
senseval2.d000.s004.t005	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group
senseval2.d000.s004.t006	1) in or at this place; where the speaker or writer isIn the given sentence, "here"
senseval2.d000.s004.t007	2) without variation or change, in every caseThis definition best fits the context of the sentence, which implies
senseval2.d000.s005.t000	1) a structure taller than its diameter; can stand alone or be attached to a larger buildingThe sentence
senseval2.d000.s005.t001	1) an adult person who is male (as opposed to a woman)In this context, "men"
senseval2.d000.s005.t002	1) an adult female person (as opposed to a man)
senseval2.d000.s005.t003	9) cause to move in a certain direction by exerting a force upon, either physically or in an abstract
senseval2.d000.s005.t005	1) a strong line.
senseval2.d000.s005.t007	1) same in identityIn the context of the sentence, "same" refers to the identical nature of the
senseval2.d000.s005.t008	1) a hollow device made of metal that makes a ringing sound when struck.9) a percussion
senseval2.d000.s005.t009	2) the initial timeThe word "first" in the context of the sentence refers to the initial occurrence of
senseval2.d000.s005.t010	2) make a certain noise or soundIn this context, "sounded" refers to the action of the
senseval2.d000.s005.t011	1) in or at this place; where the speaker or writer isIn the context of the sentence, "
senseval2.d000.s006.t001	1) not in agreement or harmonyThe term "discordant" in the given sentence refers to something
senseval2.d000.s006.t003	3) a notation representing the pitch and duration of a musical soundIn the context of the sentence, "note
