senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
senseval2.d000.s000.t002	Of a person or thing: strange or unusual in a way that is interesting or slightly unpleasant.
senseval2.d000.s000.t003	A person from England or of English descent; pertaining to England or its people, language, or culture.
senseval2.d000.s000.t004	The greater number or amount; the majority.
senseval2.d000.s000.t005	A person from England or of English descent; pertaining to England or its people, language, or culture.
senseval2.d000.s000.t006	Distinctive characteristics or traits that are specific to a particular person, group, or thing.
senseval2.d000.s000.t007	Difficult or impossible to understand; not comprehensible.
senseval2.d000.s000.t008	All or most people in a group, place, or situation, except for a particular person or people mentioned.
senseval2.d000.s000.t009	All people and places on the earth considered as a whole.
senseval2.d000.s003.t000	A view or sight, especially one that is pleasing to the eye.
senseval2.d000.s003.t001	To bring or recall a feeling, memory, or image to the conscious mind.
senseval2.d000.s003.t004	Of a person or thing, the most beautiful or attractive.
senseval2.d000.s003.t005	Extremely old, belonging to the very distant past and no longer in existence.
senseval2.d000.s003.t006	A hard, compact, non-metallic mineral substance occurring in nature, especially one that can be cut, shaped, and polished
senseval2.d000.s003.t007	A building used for public Christian worship, typically having a steeple and one or more spires.
senseval2.d000.s003.t008	To be in or to occupy an upright position on the feet or on supports.
senseval2.d000.s003.t009	An area of open land, especially one planted with crops or pasture.
senseval2.d000.s003.t010	A vibration that travels through the air or another medium and can be heard when it reaches a person's or animal's ear.
senseval2.d000.s003.t011	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically used in churches to call people to worship
senseval2.d000.s003.t012	To fall or move smoothly and continuously in a series or sequence, like a waterfall.
senseval2.d000.s003.t013	A tall, narrow building or structure, typically part of a larger building such as a church or castle, that rises above the
senseval2.d000.s003.t014	To summon or announce (someone or something) by sound, especially to invite or attract them to a particular place or event.
senseval2.d000.s003.t015	Devout churchgoers or adherents of a religion.
senseval2.d000.s003.t016	An evening service of worship, especially in the Anglican Church, typically including the singing of psalms and hymns.
senseval2.d000.s004.t001	Cease movement or action temporarily; pause.
senseval2.d000.s004.t003	A building used for public Christian worship, especially a building that contains a sanctuary, altar, and pews.
senseval2.d000.s004.t004	A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the framework
senseval2.d000.s004.t005	Individuals belonging to a group, organization, or society, especially as official or formal participants.
senseval2.d000.s004.t006	In or at this place or position.
senseval2.d000.s004.t007	At all times in the past and at all times in the future; continuously or habitually.
senseval2.d000.s005.t000	A tall, narrow building, typically one with a spire and bells, that is part of a church.
senseval2.d000.s005.t001	Adult human males.
senseval2.d000.s005.t002	An adult human female.
senseval2.d000.s005.t003	To exert force on (something) in order to move it toward oneself or in a specified direction.
senseval2.d000.s005.t005	A strong, thick cord of twisted or braided strands of fiber, wire, or chain, used for fastening, securing
senseval2.d000.s005.t007	Being or having an identical nature, form, or quality to something else previously mentioned or implied.
senseval2.d000.s005.t008	A hollow, usually cup-shaped, metal object that makes a ringing sound when struck, typically used as a musical instrument or a
senseval2.d000.s005.t009	Existing or occurring at an earlier time; previous.
senseval2.d000.s005.t010	To make a sound or noise, especially a loud one.
senseval2.d000.s005.t011	In, at, or to the place or position being mentioned or in question.
senseval2.d000.s006.t001	Causing a harsh, jarring, or disagreeable effect; incongruous or unsuitable.
senseval2.d000.s006.t003	A distinctive feature or characteristic of something, especially when it is different from the rest.
senseval2.d000.s006.t005	Participating in or taking pleasure in an activity.
senseval2.d000.s006.t007	A hollow, usually cup-shaped metal object that is rung to produce a ringing sound, typically used as a signal or ornament
senseval2.d000.s006.t008	Of a moderate or low temperature, especially one that is pleasant or refreshing.
senseval2.d000.s006.t010	The period of the day from the end of the afternoon to the beginning of night, typically considered to be from 6 p
senseval2.d000.s007.t000	The greater part or number; the majority.
senseval2.d000.s007.t001	In addition to the one or ones already mentioned or implied; the rest or the remaining.
senseval2.d000.s007.t002	A building used for public Christian worship, typically having a steeple and one or more spires.
senseval2.d000.s007.t004	A number of similar things that are used together or regarded as a unit.
senseval2.d000.s007.t005	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically used in churches to call people to worship
senseval2.d000.s007.t006	At some time in the past; formerly.
senseval2.d000.s007.t009	Persons who ring bells, especially as a regular activity or occupation.
senseval2.d000.s007.t011	The day of the week that follows Saturday and precedes Monday, observed as a day of rest, worship, and other activities
senseval2.d000.s007.t012	The early part of the day from sunrise to noon.
senseval2.d000.s007.t013	The period of time from late afternoon to night, typically considered to begin at 6 p.m. and end at midnight.
senseval2.d000.s007.t014	A religious ceremony or act of worship, especially in a Christian context.
senseval2.d000.s008.t000	At this time; at the present moment.
senseval2.d000.s008.t001	Being the single one; no others; exclusive: "the only child."
senseval2.d000.s008.t002	Of or belonging to a particular area, especially one's home town or home region.
senseval2.d000.s008.t003	A person who is secretly substituted for another in a game or competition, especially in darts or bowling.
senseval2.d000.s008.t004	That which is left after the rest has been removed, used, or lost; a survivor or the last of a group.
senseval2.d000.s009.t000	In, at, or to this place or position.
senseval2.d000.s009.t001	The period of 24 hours starting from midnight and ending at the next midnight.
senseval2.d000.s009.t002	Reside permanently in a specified place.
senseval2.d000.s010.t001	A number of people or things that are located, gathered, or classed together.
senseval2.d000.s010.t002	Persons who ring bells, especially as a group in a bell-ringing performance or ceremony.
senseval2.d000.s010.t003	Used after a statement to introduce one or more examples or items that are part of a larger group or category.
senseval2.d000.s010.t006	The process of teaching and learning a particular skill or type of behavior.
senseval2.d000.s010.t007	To operate and control the direction and speed of a motor vehicle, typically a car or truck.
senseval2.d000.s010.t008	The day of the week following Saturday and preceding Monday, observed as a day of rest, worship, and often family activities,
senseval2.d000.s010.t009	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s010.t010	A building used for public Christian worship, typically having a steeple and a bell or bells.
senseval2.d000.s010.t011	An attempt to do something, especially something that requires physical or mental energy or skill.
senseval2.d000.s010.t012	To maintain or continue in a specified state, condition, or activity.
senseval2.d000.s010.t013	A hollow, usually cup-shaped metal instrument that produces a ringing sound when struck, typically used in churches to call worshippers to
senseval2.d000.s010.t014	The action or process of producing a sound, especially a musical note or tone.
