senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
senseval2.d000.s000.t002	2) unique or specific to a person or thing or category.In the given sentence, "peculiar" is used to
senseval2.d000.s000.t003	1) an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s000.t004	1) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the
senseval2.d000.s000.t005	2) of or relating to the English language.
senseval2.d000.s000.t006	1) an odd or unusual characteristic
senseval2.d000.s000.t007	2) not clearly understood or expressed.
senseval2.d000.s000.t008	1) something left after other parts have been taken away
senseval2.d000.s000.t009	8) all of the living human inhabitants of the earth.
senseval2.d000.s003.t000	1) the place where some action occurs.In the given sentence, "scenes" refers to the rural landscape or setting,
senseval2.d000.s003.t001	5) call to mindIn the sentence, "evoke" means to bring to mind or recall a memory or image
senseval2.d000.s003.t004	1) appealing to the emotions as well as the eye
senseval2.d000.s003.t005	1) belonging to times long past especially of the historical period before the fall of the Western Roman EmpireThis definition is more
senseval2.d000.s003.t006	1) a lump or mass of hard consolidated mineral matter
senseval2.d000.s003.t007	2) a place for public (especially Christian) worship
senseval2.d000.s003.t008	3) occupy a place or location, also metaphorically.In this sentence, the phrase "stands amid the fields" means
senseval2.d000.s003.t009	9) extensive tract of level open land.
senseval2.d000.s003.t010	1) the particular auditory effect produced by a given causeThis definition is the most suitable for the sentence because "sound"
senseval2.d000.s003.t011	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s003.t012	1) rush down in big quantities, like a cascade
senseval2.d000.s003.t013	1) a structure taller than its diameter; can stand alone or be attached to a larger building.This definition best fits the
senseval2.d000.s003.t014	The most suitable dictionary definition which identifies the meaning of "calling" among the given options is:5) demand, request,
senseval2.d000.s003.t015	1) any loyal and steadfast followingIn the sentence, "faithful" is used to describe the people who are devoted
senseval2.d000.s003.t016	2) (Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer
senseval2.d000.s004.t001	11) stop and wait, as if awaiting further instructions or developments.In this sentence, the meaning of "stop" is
senseval2.d000.s004.t003	2) a place for public (especially Christian) worship.This definition most accurately describes the meaning of "church" in the
senseval2.d000.s004.t004	2) the entrance (the space in a wall) through which you enter or leave a room or building; the space that
senseval2.d000.s004.t005	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s004.t006	1) in or at this place; where the speaker or writer is
senseval2.d000.s004.t007	1) at all times; all the time and on every occasion.
senseval2.d000.s005.t000	1) a structure taller than its diameter; can stand alone or be attached to a larger building.This definition best fits the
senseval2.d000.s005.t001	3) the generic use of the word to refer to any human being.In this sentence, the word "men" is
senseval2.d000.s005.t002	1) an adult female person (as opposed to a man).
senseval2.d000.s005.t003	1) cause to move by pulling
senseval2.d000.s005.t005	1) a strong line.The sentence is describing a physical structure used to pull or lift something (the bells), so the
senseval2.d000.s005.t007	2) closely similar or comparable in kind or quality or quantity or degree.In this sentence, "same" is used to
senseval2.d000.s005.t008	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s005.t009	3) before another in time, space, or importance.In this sentence, "first" is used to indicate the order
senseval2.d000.s005.t010	2) make a certain noise or sound.
senseval2.d000.s005.t011	1) in or at this place; where the speaker or writer is
senseval2.d000.s006.t001	2) lacking in harmonyThe sentence describes the note as "discordant" as something that is not in harmony with the
senseval2.d000.s006.t003	3) a notation representing the pitch and duration of a musical sound.
senseval2.d000.s006.t005	1) derive or receive pleasure from; get enjoyment from; take pleasure in
senseval2.d000.s006.t007	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s006.t008	1) neither warm nor very cold; giving relief from heat.This definition is the most suitable to describe the word "cool
senseval2.d000.s006.t010	1) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t000	1) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the
senseval2.d000.s007.t001	2) recently pastIn this context, "other" is used to refer to something that happened recently, implying that the
senseval2.d000.s007.t002	2) a place for public (especially Christian) worship.This definition fits the context of the sentence, where "churches
senseval2.d000.s007.t004	1) a group of things of the same kind that belong together and are so used.This definition is the most suitable for
senseval2.d000.s007.t005	1) a hollow device made of metal that makes a ringing sound when struck
senseval2.d000.s007.t006	3) at a previous time.The sentence implies that the church had a band of ringers at some point in the past
senseval2.d000.s007.t009	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s007.t011	1) first day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s007.t012	3) the first light of day.This definition of "morning" fits the context of the sentence, as it refers
senseval2.d000.s007.t013	1) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t014	13) the act of delivering a writ or summons upon someone.This definition is the most suitable for the sentence as it implies
senseval2.d000.s008.t000	4) at the present moment.
