senseval2.d000.s000.t000	3) a superior skill that you can learn by study and practice and observation.In this context, "art
senseval2.d000.s000.t002	1) beyond or deviating from the usual or expected2) unique or specific to a person or thing or category
senseval2.d000.s000.t003	2) the people of EnglandIn this context, "English" refers to the people of England, not the
senseval2.d000.s000.t004	1) (superlative of `many' used with count nouns and often preceded by `the')
senseval2.d000.s000.t005	1) of or relating to or characteristic of England or its culture or people. This definition best fits the context of
senseval2.d000.s000.t006	1) an odd or unusual characteristic2) a distinguishing traitBoth definitions are suitable for "pe
senseval2.d000.s000.t007	2) not clearly understood or expressed
senseval2.d000.s000.t008	5) euphemisms for death (based on an analogy between lying in a bed and in a tomb)
senseval2.d000.s000.t009	8) all of the living human inhabitants of the earth.In this context, "world" refers to all
senseval2.d000.s003.t000	9) the context and environment in which something is set.In the given sentence, "scenes" refers
senseval2.d000.s003.t001	5) call to mindIn the context of the sentence, "evoke" is used to describe the act
senseval2.d000.s003.t004	1) appealing to the emotions as well as the eyeThis definition best fits the context of the sentence
senseval2.d000.s003.t005	2) very oldIn this context, "ancient" refers to something that is very old, particularly emphas
senseval2.d000.s003.t006	2) building material consisting of a piece of rock hewn in a definite shape for a special purpose.In
senseval2.d000.s003.t007	2) a place for public (especially Christian) worshipIn the given sentence, "An ancient stone church
senseval2.d000.s003.t008	4) hold one's ground; maintain a position; be steadfast or uprightIn the context
senseval2.d000.s003.t009	9) extensive tract of level open landIn the context of the sentence, "fields" refers to the open
senseval2.d000.s003.t010	3) mechanical vibrations transmitted by an elastic mediumIn the context of the sentence, "sound
senseval2.d000.s003.t011	1) a hollow device made of metal that makes a ringing sound when struckIn the context of the
senseval2.d000.s003.t012	1) rush down in big quantities, like a cascadeIn the context of the sentence, "c
senseval2.d000.s003.t013	1) a structure taller than its diameter; can stand alone or be attached to a larger building. This definition best
senseval2.d000.s003.t014	23) order or request or give a command forIn the context of the sentence, "calling"
senseval2.d000.s003.t015	2) a group of people who adhere to a common faith and habitually attend a given church.In
senseval2.d000.s003.t016	2) (Anglican Church) a daily evening service with prayers prescribed in the Book of Common Pray
senseval2.d000.s004.t001	11) stop and wait, as if awaiting further instructions or developments.In the context of the
senseval2.d000.s004.t003	2) a place for public (especially Christian) worshipIn this context, "church" refers to
senseval2.d000.s004.t004	1) a swinging or sliding barrier that will close the entrance to a room or building or vehicle
senseval2.d000.s004.t005	1) one of the persons who compose a social group (especially individuals who have joined and participate in a group
senseval2.d000.s004.t006	1) in or at this place; where the speaker or writer is. In this context, "here" refers to
senseval2.d000.s004.t007	2) without variation or change, in every caseIn the context of the sentence, "always" refers to
senseval2.d000.s005.t000	1) a structure taller than its diameter; can stand alone or be attached to a larger building
senseval2.d000.s005.t001	1) an adult person who is male (as opposed to a woman)The context of the sentence refers to
senseval2.d000.s005.t002	1) an adult female person (as opposed to a man)
senseval2.d000.s005.t003	9) cause to move in a certain direction by exerting a force upon, either physically or in an abstract
senseval2.d000.s005.t005	1) a strong line. This definition fits the context of the sentence, as ropes are typically used for pulling or
senseval2.d000.s005.t007	1) same in identity - This definition fits best in the context of the sentence, as it refers to the identical b
senseval2.d000.s005.t008	9) a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used
senseval2.d000.s005.t009	2) the initial timeIn the context of the sentence, "first" refers to the initial time when the
senseval2.d000.s005.t010	2) make a certain noise or sound3) give off a certain sound or sounds4) announce by
senseval2.d000.s005.t011	1) in or at this place; where the speaker or writer is. In this context, "here" refers to
senseval2.d000.s006.t001	1) not in agreement or harmony2) lacking in harmonyBoth definitions 1 and
senseval2.d000.s006.t003	3) a notation representing the pitch and duration of a musical soundIn the context of the sentence, "note
senseval2.d000.s006.t005	1) derive or receive pleasure from; get enjoyment from; take pleasure in5) take delight in
senseval2.d000.s006.t007	1) a hollow device made of metal that makes a ringing sound when struck9) a percussion instrument
senseval2.d000.s006.t008	1) neither warm nor very cold; giving relief from heat
senseval2.d000.s006.t010	1) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t000	1) (superlative of `many' used with count nouns and often preceded by `the')
senseval2.d000.s007.t001	1) not the same one or ones already mentioned or implied; - the White QueenIn this context,
senseval2.d000.s007.t002	2) a place for public (especially Christian) worshipIn this context, "churches" refers
senseval2.d000.s007.t004	1) a group of things of the same kind that belong together and are so usedIn the context of the
senseval2.d000.s007.t005	1) a hollow device made of metal that makes a ringing sound when struck.
senseval2.d000.s007.t006	3) at a previous time.In this context, "once" refers to a time in the past when
senseval2.d000.s007.t009	1) a person who rings church bells (as for summoning the congregation).
senseval2.d000.s007.t011	1) first day of the week; observed as a day of rest and worship by most Christians
senseval2.d000.s007.t012	1) the time period between dawn and noon
senseval2.d000.s007.t013	1) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
senseval2.d000.s007.t014	3) the act of public worship following prescribed rules.
senseval2.d000.s008.t000	4) at the present momentIn this context, "Now" refers to the current time or the immediate present
senseval2.d000.s008.t001	2) without any others being included or involvedIn this context, "only" is used to indicate that there
senseval2.d000.s008.t002	2) of or belonging to or characteristic of a particular locality or neighborhood.In this context, "local
senseval2.d000.s008.t003	2) a person who is almost identical to anotherIn this context, "ringer" refers to a person
senseval2.d000.s008.t004	3) be left; of persons, questions, problems, results, evidence, etc.In the context of
